lang,langType,territory,revGenDate,defs,dftLang
fr-SN,fr,SN,,1,False
fr-SY,fr,SY,,2,False
fr-TD,fr,TD,,1,False
fr-TG,fr,TG,,0,False
fr-TN,fr,TN,,2,False
fr-VU,fr,VU,,2,False
fr-WF,fr,WF,,0,False
fr-YT,fr,YT,,0,False
fur,fur,,,8,False
fur-IT,fur,IT,,0,False
fy,fy,,,9,False
fy-NL,fy,NL,,0,False
ga,ga,,,10,False
ga-IE,ga,IE,,0,False
gd,gd,,,10,False
gd-GB,gd,GB,,0,False
gl,gl,,,10,False
gl-ES,gl,ES,,0,False
gsw,gsw,,,8,False
gsw-CH,gsw,CH,,0,False
gsw-FR,gsw,FR,,0,False
gsw-LI,gsw,LI,,0,False
gu,gu,,,10,False
gu-IN,gu,IN,,0,False
guz,guz,,,6,False
guz-KE,guz,KE,,0,False
gv,gv,,,4,False
gv-IM,gv,IM,,0,False
ha,ha,,,6,False
ha-GH,ha,GH,,1,False
ha-NE,ha,NE,,3,False
ha-NG,ha,NG,,0,False
haw,haw,,,5,False
haw-US,haw,US,,0,False
he,he,,,11,False
he-IL,he,IL,,0,False
hi,hi,,,10,False
hi-IN,hi,IN,,0,False
hr,hr,,,11,False
hr-BA,hr,BA,,2,False
hr-HR,hr,HR,,0,False
hsb,hsb,,,8,False
hsb-DE,hsb,DE,,0,False
hu,hu,,,11,False
hu-HU,hu,HU,,0,False
hy,hy,,,10,False
hy-AM,hy,AM,,0,False
ia,ia,,,10,False
ia-001,ia,1,,0,False
id,id,,,11,False
id-ID,id,ID,,0,False
ig,ig,,,6,False
ig-NG,ig,NG,,0,False
ii,ii,,,5,False
ii-CN,ii,CN,,0,False
is,is,,,10,False
is-IS,is,IS,,0,False
it,it,,,11,False
it-CH,it,CH,,4,False
it-IT,it,IT,,0,False
it-SM,it,SM,,0,False
it-VA,it,VA,,0,False
ja,ja,,,10,False
ja-JP,ja,JP,,0,False
jgo,jgo,,,8,False
jgo-CM,jgo,CM,,0,False
jmc,jmc,,,6,False
jmc-TZ,jmc,TZ,,0,False
jv,jv,,,9,False
jv-ID,jv,ID,,0,False
ka,ka,,,10,False
ka-GE,ka,GE,,0,False
kab,kab,,,9,False
kab-DZ,kab,DZ,,0,False
kam,kam,,,6,False
kam-KE,kam,KE,,0,False
kde,kde,,,6,False
kde-TZ,kde,TZ,,0,False
kea,kea,,,8,False
kea-CV,kea,CV,,0,False
khq,khq,,,6,False
khq-ML,khq,ML,,0,False
ki,ki,,,6,False
ki-KE,ki,KE,,0,False
kk,kk,,,10,False
kk-KZ,kk,KZ,,0,False
kkj,kkj,,,6,False
kkj-CM,kkj,CM,,0,False
kl,kl,,,8,False
kl-GL,kl,GL,,0,False
kln,kln,,,6,False
kln-KE,kln,KE,,0,False
km,km,,,10,False
km-KH,km,KH,,0,False
kn,kn,,,10,False
kn-IN,kn,IN,,0,False
ko,ko,,,10,False
ko-KP,ko,KP,,2,False
ko-KR,ko,KR,,0,False
kok,kok,,,8,False
kok-IN,kok,IN,,0,False
ks,ks,,,7,False
ks-IN,ks,IN,,0,False
ksb,ksb,,,6,False
ksb-TZ,ksb,TZ,,0,False
ksf,ksf,,,6,False
ksf-CM,ksf,CM,,0,False
ksh,ksh,,,8,False
ksh-DE,ksh,DE,,0,False
ku,ku,,,9,False
ku-TR,ku,TR,,0,False
kw,kw,,,4,False
kw-GB,kw,GB,,0,False
ky,ky,,,10,False
ky-KG,ky,KG,,0,False
lag,lag,,,6,False
lag-TZ,lag,TZ,,0,False
lb,lb,,,9,False
lb-LU,lb,LU,,0,False
lg,lg,,,6,False
lg-UG,lg,UG,,0,False
lkt,lkt,,,5,False
lkt-US,lkt,US,,0,False
ln,ln,,,8,False
ln-AO,ln,AO,,1,False
ln-CD,ln,CD,,0,False
ln-CF,ln,CF,,0,False
ln-CG,ln,CG,,0,False
lo,lo,,,10,False
lo-LA,lo,LA,,0,False
lrc,lrc,,,9,False
lrc-IQ,lrc,IQ,,1,False
lrc-IR,lrc,IR,,0,False
lt,lt,,,10,False
lt-LT,lt,LT,,0,False
lu,lu,,,6,False
lu-CD,lu,CD,,0,False
luo,luo,,,6,False
luo-KE,luo,KE,,0,False
luy,luy,,,6,False
luy-KE,luy,KE,,0,False
lv,lv,,,10,False
lv-LV,lv,LV,,0,False
mas,mas,,,6,False
mas-KE,mas,KE,,0,False
mas-TZ,mas,TZ,,1,False
mer,mer,,,6,False
mer-KE,mer,KE,,0,False
mfe,mfe,,,6,False
mfe-MU,mfe,MU,,0,False
mg,mg,,,6,False
mg-MG,mg,MG,,0,False
mgh,mgh,,,5,False
mgh-MZ,mgh,MZ,,0,False
mgo,mgo,,,7,False
mgo-CM,mgo,CM,,0,False
mi,mi,,,8,False
mi-NZ,mi,NZ,,0,False
mk,mk,,,10,False
mk-MK,mk,MK,,0,False
ml,ml,,,10,False
ml-IN,ml,IN,,0,False
mn,mn,,,10,False
mn-MN,mn,MN,,0,False
mr,mr,,,10,False
mr-IN,mr,IN,,0,False
ms,ms,,,10,False
ms-BN,ms,BN,,2,False
ms-MY,ms,MY,,0,False
ms-SG,ms,SG,,1,False
mt,mt,,,8,False
mt-MT,mt,MT,,0,False
mua,mua,,,6,False
mua-CM,mua,CM,,0,False
my,my,,,10,False
my-MM,my,MM,,0,False
mzn,mzn,,,9,False
mzn-IR,mzn,IR,,0,False
naq,naq,,,6,False
naq-NA,naq,NA,,0,False
nb,nb,,,11,False
nb-NO,nb,NO,,0,False
nb-SJ,nb,SJ,,0,False
nd,nd,,,6,False
nd-ZW,nd,ZW,,0,False
nds,nds,,,8,False
nds-DE,nds,DE,,0,False
nds-NL,nds,NL,,1,False
ne,ne,,,10,False
ne-IN,ne,IN,,1,False
ne-NP,ne,NP,,0,False
nl,nl,,,11,False
nl-AW,nl,AW,,1,False
nl-BE,nl,BE,,3,False
nl-BQ,nl,BQ,,1,False
nl-CW,nl,CW,,1,False
nl-NL,nl,NL,,0,False
nl-SR,nl,SR,,2,False
nl-SX,nl,SX,,1,False
nmg,nmg,,,6,False
nmg-CM,nmg,CM,,0,False
nn,nn,,,9,False
nn-NO,nn,NO,,0,False
nnh,nnh,,,5,False
nnh-CM,nnh,CM,,0,False
nus,nus,,,6,False
nus-SS,nus,SS,,0,False
nyn,nyn,,,6,False
nyn-UG,nyn,UG,,0,False
om,om,,,4,False
om-ET,om,ET,,0,False
om-KE,om,KE,,2,False
or,or,,,10,False
or-IN,or,IN,,0,False
os,os,,,8,False
os-GE,os,GE,,0,False
os-RU,os,RU,,1,False
pa,pa,,,10,False
pa-Arab,pa,,,6,False
pa-Arab-PK,pa,PK,,0,False
pa-Guru,pa,,,0,False
pa-Guru-IN,pa,IN,,0,False
pl,pl,,,11,False
pl-PL,pl,PL,,0,False
prg,prg,,,8,False
prg-001,prg,1,,0,False
ps,ps,,,11,False
ps-AF,ps,AF,,0,False
pt,pt,,,11,False
pt-AO,pt,AO,,2,False
pt-BR,pt,BR,,0,False
pt-CH,pt,CH,,0,False
pt-CV,pt,CV,,2,False
pt-GQ,pt,GQ,,0,False
pt-GW,pt,GW,,1,False
pt-LU,pt,LU,,1,False
pt-MO,pt,MO,,2,False
pt-MZ,pt,MZ,,2,False
pt-PT,pt,PT,,9,False
pt-ST,pt,ST,,2,False
pt-TL,pt,TL,,1,False
qu,qu,,,6,False
qu-BO,qu,BO,,2,False
qu-EC,qu,EC,,2,False
qu-PE,qu,PE,,0,False
rm,rm,,,8,False
rm-CH,rm,CH,,0,False
rn,rn,,,6,False
rn-BI,rn,BI,,0,False
ro,ro,,,11,False
ro-MD,ro,MD,,4,False
ro-RO,ro,RO,,0,False
rof,rof,,,6,False
rof-TZ,rof,TZ,,0,False
root,root,,,11,False
ru,ru,,,11,False
ru-BY,ru,BY,,1,False
ru-KG,ru,KG,,1,False
ru-KZ,ru,KZ,,1,False
ru-MD,ru,MD,,1,False
ru-RU,ru,RU,,0,False
ru-UA,ru,UA,,3,False
rw,rw,,,5,False
rw-RW,rw,RW,,0,False
rwk,rwk,,,6,False
rwk-TZ,rwk,TZ,,0,False
sah,sah,,,9,False
sah-RU,sah,RU,,0,False
saq,saq,,,6,False
saq-KE,saq,KE,,0,False
sbp,sbp,,,6,False
sbp-TZ,sbp,TZ,,0,False
sd,sd,,,11,False
sd-PK,sd,PK,,0,False
se,se,,,8,False
se-FI,se,FI,,3,False
se-NO,se,NO,,0,False
se-SE,se,SE,,1,False
seh,seh,,,6,False
seh-MZ,seh,MZ,,0,False
ses,ses,,,6,False
ses-ML,ses,ML,,0,False
sg,sg,,,6,False
sg-CF,sg,CF,,0,False
shi,shi,,,6,False
shi-Latn,shi,,,6,False
shi-Latn-MA,shi,MA,,0,False
shi-Tfng,shi,,,0,False
shi-Tfng-MA,shi,MA,,0,False
si,si,,,10,False
si-LK,si,LK,,0,False
sk,sk,,,11,False
sk-SK,sk,SK,,0,False
sl,sl,,,10,False
sl-SI,sl,SI,,0,False
smn,smn,,,6,False
smn-FI,smn,FI,,0,False
sn,sn,,,6,False
sn-ZW,sn,ZW,,0,False
so,so,,,8,False
so-DJ,so,DJ,,1,False
so-ET,so,ET,,1,False
so-KE,so,KE,,2,False
so-SO,so,SO,,0,False
sq,sq,,,10,False
sq-AL,sq,AL,,0,False
sq-MK,sq,MK,,2,False
sq-XK,sq,XK,,1,False
sr,sr,,,10,False
sr-Cyrl,sr,,,0,False
sr-Cyrl-BA,sr,BA,,2,False
sr-Cyrl-ME,sr,ME,,2,False
sr-Cyrl-RS,sr,RS,,0,False
sr-Cyrl-XK,sr,XK,,2,False
sr-Latn,sr,,,10,False
sr-Latn-BA,sr,BA,,2,False
sr-Latn-ME,sr,ME,,2,False
sr-Latn-RS,sr,RS,,0,False
sr-Latn-XK,sr,XK,,2,False
sv,sv,,,11,False
sv-AX,sv,AX,,0,False
sv-FI,sv,FI,,4,False
sv-SE,sv,SE,,0,False
sw,sw,,,10,False
sw-CD,sw,CD,,4,False
sw-KE,sw,KE,,2,False
sw-TZ,sw,TZ,,0,False
sw-UG,sw,UG,,1,False
ta,ta,,,10,False
ta-IN,ta,IN,,0,False
ta-LK,ta,LK,,2,False
ta-MY,ta,MY,,2,False
ta-SG,ta,SG,,2,False
te,te,,,10,False
te-IN,te,IN,,0,False
teo,teo,,,6,False
teo-KE,teo,KE,,1,False
teo-UG,teo,UG,,0,False
tg,tg,,,8,False
tg-TJ,tg,TJ,,0,False
th,th,,,10,False
th-TH,th,TH,,0,False
ti,ti,,,5,False
ti-ER,ti,ER,,4,False
ti-ET,ti,ET,,0,False
tk,tk,,,11,False
tk-TM,tk,TM,,0,False
to,to,,,10,False
to-TO,to,TO,,0,False
tr,tr,,,11,False
tr-CY,tr,CY,,1,False
tr-TR,tr,TR,,0,False
tt,tt,,,8,False
tt-RU,tt,RU,,0,False
twq,twq,,,6,False
twq-NE,twq,NE,,0,False
tzm,tzm,,,6,False
tzm-MA,tzm,MA,,0,False
ug,ug,,,9,False
ug-CN,ug,CN,,0,False
uk,uk,,,11,False
uk-UA,uk,UA,,0,False
ur,ur,,,11,False
ur-IN,ur,IN,,6,False
ur-PK,ur,PK,,0,False
uz,uz,,,10,False
uz-Arab,uz,,,5,False
uz-Arab-AF,uz,AF,,0,False
uz-Cyrl,uz,,,8,False
uz-Cyrl-UZ,uz,UZ,,0,False
uz-Latn,uz,,,0,False
uz-Latn-UZ,uz,UZ,,0,False
vai,vai,,,6,False
vai-Latn,vai,,,6,False
vai-Latn-LR,vai,LR,,0,False
vai-Vaii,vai,,,0,False
vai-Vaii-LR,vai,LR,,0,False
vi,vi,,,11,False
vi-VN,vi,VN,,0,False
vo,vo,,,6,False
vo-001,vo,1,,0,False
vun,vun,,,6,False
vun-TZ,vun,TZ,,0,False
wae,wae,,,8,False
